TransactionID,CustomerSegment,ProductCategory,PurchaseAmount ($),Quantity,PurchaseDate
47,Regular,Home & Kitchen,348.9,7,2022-06-14 07:54:16.520706291
48,Premium,Home & Kitchen,816.69,8,2024-06-26 02:47:33.984051413
49,Regular,Beauty,469.39,1,2024-01-19 10:06:29.275618469
50,Premium,Beauty,81.34,9,2024-09-06 23:29:50.057848890
51,Wholesale,Electronics,170.22,4,2024-11-23 00:53:39.366980466
52,Regular,Home & Kitchen,65.8,4,2023-05-05 03:43:13.507530433
53,Wholesale,Books,501.81,3,2022-07-19 04:55:26.031307914
54,Wholesale,Home & Kitchen,110.81,6,2023-02-12 19:08:53.102308625
55,Regular,Home & Kitchen,118.57,1,2024-05-15 21:17:32.758645757
56,Regular,Beauty,941.34,6,2024-08-07 16:19:25.305794445
57,Wholesale,Home & Kitchen,873.29,2,2023-10-03 11:18:45.447444169
58,Wholesale,Home & Kitchen,454.83,9,2022-01-20 13:05:25.278630792
59,Wholesale,Books,985.88,2,2022-07-06 16:28:27.481575818
60,Wholesale,Beauty,5.19,7,2022-12-18 12:32:09.115200363
61,Regular,Home & Kitchen,615.91,1,2022-09-04 13:08:31.387995970
62,Regular,Clothing,618.35,7,2024-01-07 03:32:05.827380134
63,Wholesale,Electronics,460.16,5,2022-03-28 23:56:34.370436023
64,Premium,Books,399.96,8,2022-09-18 15:21:01.728571160
65,Premium,Home & Kitchen,458.11,4,2022-09-06 19:35:40.448071561
66,Regular,Clothing,417.89,7,2024-09-04 21:53:25.945410574
67,Wholesale,Home & Kitchen,731.84,6,2023-11-24 13:12:07.585649199
68,Wholesale,Home & Kitchen,139.68,5,2022-01-31 04:33:28.772785300
69,Regular,Beauty,201.65,4,2024-07-07 04:37:52.841063903
70,Premium,Beauty,184.62,7,2024-12-29 01:17:37.845494852
71,Premium,Beauty,266.16,5,2024-09-22 17:35:00.465125339
72,Premium,Clothing,527.63,5,2024-09-03 23:28:59.821483975
73,Regular,Home & Kitchen,115.65,1,2022-09-05 05:05:48.120178296
74,Premium,Electronics,868.83,2,2023-04-14 12:46:51.659277730
75,Regular,Books,300.87,5,2022-09-22 11:58:01.958191764
76,Regular,Beauty,166.73,3,2022-11-29 07:02:23.981565585
77,Wholesale,Beauty,677.24,2,2022-06-29 14:22:28.673014512
78,Premium,Home & Kitchen,42.9,4,2022-04-18 05:31:06.049485918
79,Regular,Home & Kitchen,621.87,4,2024-05-30 22:39:23.092256261
80,Premium,Clothing,699.71,4,2024-02-02 05:41:03.328299725
81,Premium,Clothing,218.84,4,2023-05-23 16:05:32.891981633
82,Wholesale,Beauty,46.75,3,2022-10-19 20:04:28.041048717
83,Premium,Home & Kitchen,366.83,7,2022-03-14 09:40:11.662472535
84,Wholesale,Electronics,103.1,9,2023-08-24 19:47:45.060101402
85,Regular,Books,120.9,5,2024-12-04 07:10:50.906618711
86,Premium,Home & Kitchen,257.99,4,2023-03-29 10:33:37.076776823
87,Regular,Home & Kitchen,298.99,2,2023-04-11 18:42:04.727224165
88,Premium,Clothing,532.32,2,2022-11-16 07:56:31.304023719
89,Regular,Books,680.0,5,2024-08-03 06:13:15.014417621
90,Premium,Beauty,594.81,7,2022-09-25 23:18:15.178053905
91,Premium,Home & Kitchen,152.62,9,2023-04-17 19:19:22.432007143
92,Premium,Beauty,176.23,7,2022-02-03 02:32:38.030269126
93,Premium,Home & Kitchen,879.38,5,2024-05-22 23:40:46.238631892
94,Premium,Beauty,560.56,6,2023-01-24 01:25:24.021965545
95,Premium,Books,870.59,3,2024-08-14 19:29:40.326107251
96,Premium,Clothing,374.69,5,2023-06-28 04:02:34.413724713
97,Premium,Books,616.33,8,2022-06-09 00:15:15.830614394
98,Premium,Electronics,526.05,1,2022-09-30 05:10:52.721585357
99,Regular,Clothing,322.53,1,2024-03-27 04:57:58.307327707
100,Wholesale,Books,472.57,7,2024-07-17 14:12:45.679681159
101,Premium,Electronics,504.98,5,2024-07-13 00:39:54.081544309
102,Wholesale,Home & Kitchen,204.77,5,2023-06-25 18:26:43.343523715
103,Premium,Home & Kitchen,318.44,1,2024-11-28 06:21:00.893616455
104,Premium,Beauty,792.45,9,2023-09-27 17:38:55.085100324
105,Regular,Clothing,916.21,1,2022-12-04 00:23:54.847497222
106,Regular,Home & Kitchen,363.0,5,2024-05-26 01:52:02.390789031
107,Wholesale,Clothing,310.44,9,2023-09-08 06:33:02.497953702
108,Regular,Home & Kitchen,199.22,4,2024-06-24 19:07:59.930879486
109,Regular,Beauty,680.1,8,2023-11-16 14:55:08.265564212
110,Wholesale,Books,326.48,6,2024-06-12 09:22:34.485821925
111,Regular,Beauty,987.81,3,2022-11-29 21:19:48.102469097
112,Premium,Electronics,329.06,4,2022-04-04 17:07:11.515371237
113,Wholesale,Home & Kitchen,397.17,2,2024-12-23 02:59:06.051331268
114,Wholesale,Electronics,605.32,1,2023-07-15 03:00:59.915962734
115,Premium,Electronics,802.68,8,2024-03-01 16:19:21.847779577
116,Regular,Clothing,472.17,1,2024-02-06 01:20:29.963868539
117,Wholesale,Home & Kitchen,425.54,1,2023-05-04 06:12:37.130027879
118,Wholesale,Electronics,995.66,4,2023-12-16 19:44:56.273331094
119,Premium,Books,15.44,6,2022-08-23 16:22:43.028747553
120,Premium,Electronics,895.59,9,2024-12-17 01:51:06.394702226
121,Regular,Books,153.4,1,2023-08-05 18:19:36.732666028
122,Wholesale,Clothing,787.0,7,2022-04-27 11:28:51.190104856
123,Regular,Electronics,619.84,5,2022-10-18 15:37:20.380687949
124,Regular,Beauty,345.14,8,2022-02-12 07:57:17.627087640
125,Premium,Clothing,874.51,7,2023-09-06 06:03:16.726688806
126,Wholesale,Books,17.84,4,2023-03-25 20:54:42.174419278
127,Wholesale,Clothing,230.56,4,2022-11-25 16:47:06.543906330
128,Wholesale,Electronics,569.06,6,2023-06-09 09:15:19.012291657
129,Premium,Home & Kitchen,354.78,6,2023-02-09 00:41:52.871575875
130,Premium,Home & Kitchen,612.33,9,2023-10-03 22:09:03.651634322
131,Premium,Books,28.99,5,2023-05-27 08:41:11.090053403
132,Premium,Books,120.88,8,2022-03-17 12:57:07.968300749
133,Premium,Home & Kitchen,131.46,5,2024-08-24 04:35:12.302101231
134,Wholesale,Books,193.34,2,2023-12-05 08:24:58.597550418
135,Regular,Clothing,462.03,6,2022-03-19 11:05:36.686724964
136,Wholesale,Beauty,753.37,9,2022-07-07 03:48:42.023082699
137,Regular,Beauty,906.01,3,2024-11-03 09:35:19.726886661
138,Premium,Clothing,836.2,1,2024-02-14 07:42:21.234551546
139,Regular,Beauty,200.9,1,2023-10-30 10:21:32.581500252
140,Wholesale,Electronics,443.94,3,2023-06-26 14:56:20.539438793
141,Wholesale,Clothing,203.41,5,2024-11-18 07:26:26.998534379
142,Regular,Books,268.15,3,2024-07-05 01:33:50.026826439
143,Premium,Clothing,506.03,9,2022-02-03 04:24:16.064482783
144,Premium,Home & Kitchen,72.77,8,2024-07-23 02:00:15.171918080
145,Wholesale,Books,222.08,3,2023-07-25 00:38:51.502729715
146,Regular,Home & Kitchen,935.7,9,2024-07-25 12:48:18.570732029
147,Premium,Books,468.79,6,2022-04-25 08:44:13.741003536
148,Premium,Beauty,448.16,7,2023-06-03 13:05:39.467705095
149,Wholesale,Clothing,19.49,4,2023-04-07 07:18:31.294380118
150,Premium,Electronics,251.16,4,2022-07-14 10:18:18.130786033
151,Regular,Books,866.96,2,2022-12-24 07:44:43.210401455
152,Wholesale,Books,168.81,5,2022-07-10 09:21:41.684808354
153,Wholesale,Home & Kitchen,418.05,8,2024-08-12 18:29:26.246679853
154,Regular,Beauty,19.26,7,2022-09-12 04:06:22.590853467
155,Wholesale,Home & Kitchen,480.94,7,2022-02-02 16:03:35.410722337
156,Premium,Home & Kitchen,25.92,6,2023-06-20 16:45:52.574790734
157,Premium,Beauty,820.51,3,2024-05-27 21:58:42.115807102
158,Regular,Electronics,825.73,5,2023-05-26 23:32:42.926255264
159,Premium,Home & Kitchen,788.8,1,2022-06-24 11:30:53.819238253
160,Regular,Home & Kitchen,286.95,7,2024-03-25 09:35:37.036917468
161,Regular,Books,838.05,9,2024-05-22 05:29:22.797184800
162,Premium,Beauty,545.28,1,2024-03-06 10:29:38.288237680
163,Regular,Clothing,376.94,2,2024-10-18 12:37:25.179561164
164,Premium,Electronics,627.2,3,2022-07-15 10:56:03.476082802
165,Wholesale,Electronics,17.28,3,2022-12-29 04:23:37.868736140
166,Wholesale,Beauty,147.25,8,2022-01-11 10:12:22.372251886
167,Regular,Books,743.58,7,2023-12-17 00:04:15.979939207
168,Premium,Books,247.94,6,2023-06-07 23:46:06.010479498
169,Premium,Beauty,600.02,4,2022-07-10 18:17:24.319496244
170,Wholesale,Books,388.18,9,2022-07-20 01:27:35.201976013
171,Wholesale,Electronics,855.53,1,2023-07-02 06:14:46.911632183
172,Premium,Electronics,952.65,2,2024-06-10 04:22:23.943137664
173,Regular,Clothing,884.15,4,2023-06-04 19:51:30.469269621
174,Wholesale,Beauty,274.27,3,2024-12-09 21:30:15.142556427
175,Regular,Home & Kitchen,198.19,1,2024-09-11 19:37:15.642518707
176,Regular,Home & Kitchen,477.06,5,2023-06-26 01:43:37.212127077
177,Wholesale,Clothing,12.3,7,2024-06-16 16:35:58.706395990
178,Regular,Clothing,30.68,2,2024-02-18 10:46:07.334096691
179,Regular,Books,555.52,5,2023-08-15 23:00:25.908948614
180,Premium,Clothing,522.85,6,2022-02-18 20:50:16.623654364
181,Regular,Clothing,994.61,7,2024-01-06 02:03:30.980109751
182,Premium,Home & Kitchen,205.83,1,2023-06-20 14:10:09.591381561
183,Wholesale,Books,261.81,7,2023-07-05 23:55:51.991712774
184,Wholesale,Clothing,117.97,4,2022-11-15 03:46:26.933637576
185,Premium,Clothing,917.96,8,2024-12-20 13:22:59.347796321
186,Wholesale,Books,778.92,4,2023-01-06 09:27:48.508366198
187,Regular,Beauty,823.23,6,2023-05-28 06:06:35.520926040
188,Regular,Books,903.25,9,2024-10-19 06:33:41.490630059
189,Regular,Home & Kitchen,527.28,5,2022-08-14 02:26:05.670877598
190,Wholesale,Beauty,453.94,4,2023-05-15 17:20:18.839937649
191,Regular,Electronics,333.74,8,2024-05-08 05:51:23.092379579
192,Wholesale,Books,591.27,9,2022-02-14 09:34:12.202996455
193,Regular,Home & Kitchen,457.01,4,2024-03-05 02:45:10.106277408
194,Premium,Beauty,454.31,3,2023-03-20 15:16:00.394188457
195,Wholesale,Books,937.24,8,2023-06-03 21:25:46.931999766
196,Wholesale,Clothing,984.11,5,2022-03-17 19:28:40.268399606
197,Regular,Books,797.5,2,2024-07-29 04:13:20.278398322
198,Wholesale,Electronics,757.97,9,2024-08-12 03:16:48.542292014
199,Wholesale,Books,682.16,3,2024-01-19 02:18:21.891786207
200,Premium,Beauty,170.24,2,2023-07-02 11:51:16.977905725
201,Premium,Beauty,63.81,1,2022-04-06 18:06:30.486779558
202,Regular,Books,692.27,8,2023-06-08 15:24:01.868268117
203,Premium,Beauty,730.14,3,2023-04-16 17:19:35.257014663
204,Regular,Clothing,51.74,7,2022-02-04 08:07:51.640749344
205,Regular,Books,928.41,1,2024-08-08 20:48:08.468524269
206,Regular,Clothing,95.68,1,2022-10-28 01:28:33.562330247
207,Wholesale,Clothing,289.47,9,2023-10-25 12:38:43.044730363
208,Premium,Home & Kitchen,674.03,8,2024-08-23 08:58:55.964788287
209,Regular,Books,174.02,3,2022-03-24 10:28:04.210166897
210,Premium,Beauty,60.14,6,2024-12-19 11:37:21.300260047
211,Regular,Clothing,334.49,3,2022-07-22 13:39:47.537559431
212,Premium,Home & Kitchen,767.14,4,2023-03-22 17:13:25.697799717
213,Premium,Books,416.61,1,2024-07-01 23:02:18.556025692
214,Regular,Books,654.71,5,2023-11-13 02:48:31.231515235
215,Wholesale,Electronics,581.72,1,2022-07-13 12:19:16.958597022
216,Premium,Electronics,27.11,1,2022-05-23 17:20:08.470515131
217,Wholesale,Clothing,988.6,7,2024-12-05 13:06:17.692959222
218,Wholesale,Electronics,46.22,6,2024-03-31 19:03:31.541706662
219,Regular,Clothing,967.96,2,2023-09-16 06:08:31.624809135
220,Regular,Beauty,552.11,2,2023-08-09 00:00:50.345981535
221,Regular,Clothing,963.34,7,2022-10-17 00:29:49.693422694
222,Premium,Electronics,119.18,1,2024-05-30 00:52:33.790387150
223,Regular,Beauty,492.96,2,2024-12-28 04:37:24.877095429
224,Regular,Electronics,173.66,8,2024-05-03 01:39:45.958912235
225,Premium,Clothing,55.72,6,2024-07-15 14:44:30.887407731
226,Premium,Home & Kitchen,619.44,2,2024-01-29 00:13:27.826145505
227,Regular,Books,211.74,7,2024-08-10 14:47:08.476375031
228,Regular,Electronics,589.76,4,2022-05-20 08:06:57.941409732
229,Regular,Clothing,116.8,2,2023-04-26 22:40:42.748284559
230,Regular,Beauty,335.33,6,2022-09-19 07:20:55.442706264
231,Wholesale,Electronics,782.72,9,2023-07-23 09:23:17.481853821
232,Wholesale,Electronics,439.87,9,2024-11-05 03:10:04.994988787
233,Regular,Books,629.61,8,2023-07-31 06:44:12.780206494
234,Wholesale,Clothing,649.22,3,2024-03-17 19:35:43.794667913
235,Premium,Home & Kitchen,844.54,3,2022-09-17 10:23:57.539582533
236,Wholesale,Beauty,328.3,2,2022-08-31 21:28:01.546176732
237,Wholesale,Clothing,688.86,5,2023-11-23 00:21:17.726877461
238,Regular,Beauty,961.81,4,2024-05-23 01:28:42.030582547
239,Wholesale,Electronics,731.59,7,2022-09-22 00:27:13.585309005
240,Wholesale,Books,492.42,4,2022-11-22 23:40:53.684356388
241,Wholesale,Books,632.56,9,2022-01-29 00:44:49.106256033
242,Wholesale,Home & Kitchen,740.98,2,2022-01-14 19:28:10.616801141
243,Premium,Books,614.21,6,2022-08-24 03:53:25.456348794
244,Regular,Electronics,21.59,7,2024-10-24 14:06:35.146741675
245,Regular,Home & Kitchen,198.8,4,2024-09-22 07:25:54.730165113
246,Premium,Clothing,811.42,6,2022-05-20 23:45:09.082991605
247,Wholesale,Books,276.29,7,2022-03-28 02:31:31.526646583
248,Premium,Home & Kitchen,732.9,4,2024-03-09 23:01:54.808999029
249,Wholesale,Electronics,375.26,8,2023-03-08 05:57:42.142966995
250,Premium,Beauty,524.27,9,2024-01-26 11:26:43.489873008
251,Regular,Beauty,72.63,1,2024-01-13 13:34:35.784315706
252,Regular,Electronics,185.32,7,2023-06-02 03:30:44.519032674
253,Regular,Electronics,957.41,9,2022-05-24 13:00:18.079123500
254,Wholesale,Beauty,890.69,5,2022-02-20 17:19:13.823297341
255,Wholesale,Home & Kitchen,654.01,2,2024-07-16 18:42:28.396722352
256,Premium,Beauty,462.35,6,2022-06-05 01:30:27.749848766
257,Premium,Electronics,677.38,7,2022-12-29 22:31:32.179072671
258,Regular,Books,620.52,2,2024-02-05 04:08:45.982605578
259,Wholesale,Clothing,570.71,2,2022-02-11 12:07:13.753805288
260,Premium,Books,63.88,1,2023-10-07 21:04:26.766262958
261,Wholesale,Books,634.64,4,2023-08-18 07:27:17.500097507
262,Wholesale,Electronics,770.08,7,2022-11-18 17:26:25.630043792
263,Regular,Beauty,994.11,9,2024-10-09 01:20:41.830791371
264,Regular,Home & Kitchen,16.02,3,2023-02-04 20:32:49.002648103
265,Wholesale,Books,731.52,7,2023-04-23 01:40:48.257386798
266,Wholesale,Beauty,573.93,7,2022-06-20 01:32:09.094974122
267,Wholesale,Home & Kitchen,436.88,7,2023-06-18 03:00:04.534158847
268,Wholesale,Books,131.93,2,2024-03-13 11:22:41.328054128
269,Regular,Home & Kitchen,412.04,6,2023-04-22 04:03:43.859549932
270,Premium,Beauty,357.61,2,2023-03-14 22:16:25.577730886
271,Regular,Clothing,306.32,6,2024-09-01 22:39:14.490084150
272,Premium,Beauty,732.23,3,2024-12-21 10:40:46.764878612
273,Wholesale,Electronics,702.22,2,2024-09-19 15:23:26.540681526
274,Premium,Home & Kitchen,591.07,6,2023-05-28 17:23:47.186046854
275,Regular,Clothing,938.97,2,2023-10-09 19:25:21.411137769
276,Regular,Home & Kitchen,353.11,5,2023-02-18 20:31:24.431565766
277,Wholesale,Home & Kitchen,247.58,2,2023-04-06 11:19:31.843591496
278,Regular,Books,657.62,3,2023-09-20 08:30:41.989914051
279,Wholesale,Electronics,202.82,3,2022-08-18 19:11:12.936512140
280,Regular,Home & Kitchen,318.44,6,2023-09-23 11:08:21.050946130
281,Regular,Beauty,228.48,6,2024-01-15 17:08:45.638183140
282,Wholesale,Beauty,73.81,3,2022-12-08 07:27:24.913638752
283,Premium,Books,828.36,3,2023-01-11 22:34:30.127400225
284,Regular,Electronics,258.27,1,2023-04-17 05:37:46.858753866
285,Premium,Electronics,475.66,7,2022-05-23 07:23:41.297425372
286,Regular,Beauty,48.1,8,2022-12-04 07:55:59.222234654
287,Regular,Clothing,700.84,2,2022-05-09 04:02:16.553555302
288,Regular,Books,333.91,4,2024-06-15 10:24:20.520095032
289,Regular,Books,746.01,7,2022-07-03 18:02:48.246968348
290,Premium,Beauty,415.34,8,2024-01-13 09:49:02.392124412
291,Premium,Beauty,199.78,1,2024-06-07 03:20:46.818761508
292,Regular,Clothing,515.61,4,2022-10-22 13:45:33.246330491
293,Regular,Clothing,134.85,6,2023-11-13 21:00:19.650685642
294,Premium,Electronics,443.34,3,2024-07-10 21:47:25.669560261
295,Wholesale,Books,320.72,5,2022-10-02 11:58:44.455939609
296,Wholesale,Books,912.4,9,2024-12-24 19:12:00.471052280
297,Premium,Beauty,65.62,3,2022-03-18 14:08:22.790508498
298,Regular,Electronics,695.55,5,2022-08-02 11:20:06.781764933
299,Regular,Books,186.84,8,2022-03-01 15:19:54.924781368
300,Wholesale,Electronics,322.45,6,2023-09-27 22:43:46.227460893
301,Wholesale,Electronics,418.44,4,2023-07-18 07:38:56.812933064
302,Premium,Beauty,908.48,8,2022-02-08 03:13:12.662699744
303,Wholesale,Electronics,246.37,3,2024-08-07 21:54:49.995706560
304,Premium,Clothing,95.85,3,2023-08-18 06:38:04.653874949
305,Wholesale,Clothing,322.1,4,2024-03-24 18:24:06.757956617
306,Wholesale,Home & Kitchen,109.15,9,2024-09-01 21:43:00.845080714
307,Wholesale,Beauty,132.95,5,2022-05-26 20:10:23.408774850
308,Regular,Home & Kitchen,575.98,8,2023-11-13 19:43:52.240742376
309,Regular,Clothing,65.6,6,2023-03-20 09:41:05.828242206
310,Regular,Home & Kitchen,35.78,3,2024-11-19 02:49:41.598383011
311,Wholesale,Beauty,715.84,8,2023-03-14 17:11:25.475527577
312,Premium,Beauty,364.84,9,2023-11-17 19:10:49.303819772
313,Premium,Electronics,129.75,8,2024-05-30 18:54:13.349097985
314,Premium,Books,257.34,4,2024-09-15 19:55:56.097610757
315,Premium,Electronics,643.88,6,2022-12-30 01:36:51.407050388
316,Regular,Beauty,279.16,1,2024-02-19 07:16:14.267887606
317,Regular,Clothing,497.05,4,2022-03-24 04:06:43.142788151
318,Wholesale,Clothing,126.09,8,2024-02-25 09:27:57.346086637
319,Wholesale,Electronics,590.15,1,2024-12-16 00:46:50.435899804
320,Premium,Beauty,319.5,3,2023-12-07 09:41:14.100810247
321,Regular,Clothing,628.83,1,2024-07-29 14:36:59.180252225
322,Premium,Beauty,809.35,9,2022-05-26 15:59:00.527803593
323,Wholesale,Clothing,613.59,2,2024-12-23 02:08:01.307350677
324,Wholesale,Beauty,299.27,9,2024-05-15 11:39:40.537542768
325,Premium,Home & Kitchen,259.46,4,2023-02-21 13:06:44.235585676
326,Wholesale,Beauty,330.78,2,2023-05-01 09:03:31.666556804
327,Premium,Beauty,168.8,4,2024-01-31 12:45:46.980311628
328,Regular,Electronics,185.27,6,2022-11-06 19:37:53.533251960
329,Premium,Home & Kitchen,791.74,7,2022-06-28 00:40:14.382937933
330,Regular,Books,387.81,3,2024-10-19 02:17:07.422035778
331,Regular,Electronics,438.82,3,2022-09-15 14:35:39.218391666
332,Wholesale,Books,596.08,8,2023-08-29 17:08:43.309174128
333,Wholesale,Clothing,591.71,5,2022-03-09 02:43:25.406644235
334,Wholesale,Books,72.04,4,2023-03-03 15:04:56.832786091
335,Premium,Beauty,832.38,7,2024-01-10 13:02:19.617315623
336,Premium,Books,181.44,7,2023-04-22 03:48:05.344308564
337,Wholesale,Electronics,724.46,9,2023-07-19 10:03:04.289730390
338,Premium,Electronics,773.81,9,2023-06-01 13:50:45.812039352
339,Wholesale,Books,716.33,5,2024-05-17 22:04:11.308315515
340,Premium,Electronics,581.08,8,2024-02-22 09:52:35.126610806
341,Regular,Electronics,19.54,1,2023-05-18 12:26:50.019481754
342,Regular,Books,363.57,9,2024-12-22 21:27:43.225508160
343,Wholesale,Home & Kitchen,606.82,8,2022-03-02 19:09:00.554690993
344,Premium,Home & Kitchen,390.51,6,2023-02-17 08:51:07.827409768
345,Premium,Clothing,864.16,3,2024-07-19 06:54:35.210600088
346,Regular,Electronics,312.26,3,2024-05-21 19:51:16.987116622
347,Regular,Books,297.07,8,2022-12-29 18:42:41.087860679
348,Wholesale,Electronics,269.67,5,2024-04-03 07:39:18.142585701
349,Regular,Beauty,336.12,7,2022-01-25 20:28:51.828929477
350,Wholesale,Electronics,559.62,5,2022-05-30 00:08:57.752842978
351,Regular,Electronics,708.48,8,2023-01-12 17:46:36.495219904
352,Regular,Home & Kitchen,664.26,4,2023-11-03 05:55:12.502452133
353,Premium,Books,808.68,2,2022-09-10 15:23:53.876507633
354,Regular,Electronics,886.48,3,2024-06-18 23:57:06.430006726
355,Regular,Home & Kitchen,817.0,8,2022-12-30 12:58:10.103055500
356,Wholesale,Clothing,23.85,7,2022-09-21 15:15:09.722308008
357,Regular,Home & Kitchen,737.24,2,2023-03-17 02:12:41.612092104
358,Wholesale,Home & Kitchen,212.36,6,2022-05-12 15:24:56.357156126
359,Regular,Home & Kitchen,137.26,9,2022-11-02 19:36:36.954283260
360,Regular,Electronics,640.3,4,2024-08-16 22:50:05.268937089
361,Wholesale,Electronics,323.14,9,2024-12-18 21:42:33.141023530
362,Premium,Clothing,61.83,2,2023-05-30 10:47:19.153193157
363,Wholesale,Beauty,141.94,2,2024-05-30 04:26:45.591647287
364,Wholesale,Beauty,5.92,9,2023-03-13 06:47:05.559889098
365,Wholesale,Beauty,903.71,7,2024-07-17 11:08:50.110371436
366,Premium,Clothing,29.49,7,2022-02-04 00:49:51.125127771
367,Regular,Beauty,213.41,1,2023-08-29 10:44:26.701198222
368,Wholesale,Beauty,419.18,6,2022-03-07 15:11:17.141220968
369,Wholesale,Home & Kitchen,359.79,7,2024-12-02 10:00:19.792599123
370,Premium,Electronics,912.17,6,2024-04-13 22:44:25.085854762
371,Wholesale,Electronics,45.09,6,2022-09-12 11:58:11.305548614
372,Regular,Home & Kitchen,514.65,2,2022-02-24 11:05:19.206517341
373,Premium,Home & Kitchen,682.08,6,2023-04-08 10:42:12.268226692
374,Regular,Home & Kitchen,932.04,4,2023-02-25 21:11:31.341252983
375,Regular,Electronics,622.27,9,2024-07-18 12:47:11.299512786
376,Premium,Beauty,804.74,1,2023-09-26 20:12:11.362118868
377,Wholesale,Home & Kitchen,88.31,8,2024-06-29 12:21:32.722953788
378,Regular,Clothing,389.01,5,2023-09-08 22:53:02.732200084
379,Regular,Home & Kitchen,377.08,1,2024-04-07 11:28:09.744415115
380,Regular,Books,886.86,4,2023-04-27 09:08:38.232780179
381,Regular,Home & Kitchen,155.61,1,2024-01-27 09:02:04.405433984
382,Premium,Electronics,156.13,6,2023-02-05 18:05:35.763271447
383,Premium,Home & Kitchen,331.92,2,2023-10-06 16:27:37.229954339
384,Regular,Books,59.19,5,2024-06-07 08:04:11.169353418
385,Wholesale,Clothing,186.55,7,2022-06-10 20:32:09.326889915
386,Regular,Beauty,965.38,2,2022-07-27 06:24:06.912782028
387,Wholesale,Home & Kitchen,431.04,6,2023-11-15 11:03:43.777241525
388,Regular,Books,633.86,6,2022-05-10 21:08:43.233809089
389,Wholesale,Books,727.48,5,2024-06-03 08:38:21.972562341
390,Regular,Clothing,370.13,5,2024-12-09 11:54:27.941008546
391,Wholesale,Electronics,151.49,3,2024-09-26 10:12:08.296539676
392,Regular,Home & Kitchen,210.55,2,2022-04-17 16:15:02.754743861
393,Regular,Books,316.7,7,2022-02-01 10:52:41.880151324
394,Wholesale,Clothing,637.89,1,2024-08-02 02:23:20.166711682
395,Premium,Beauty,401.29,6,2023-06-02 11:34:48.428766345
396,Wholesale,Books,11.78,6,2022-08-17 05:00:44.822214633
